step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
629,0.29995,0.8,,
630,0.02766,1.0,,
631,0.06933,1.0,,
632,0.07082,1.0,,
633,0.21755,1.0,,
634,0.03888,1.0,,
635,1.03963,0.71429,,
636,0.00987,1.0,,
637,0.79803,0.83333,,
638,0.3371,0.75,,
639,1.93222,0.625,,
640,0.62168,0.6,,
641,0.91943,0.71429,,
642,1.73548,0.66667,,
643,0.8171,0.875,,
644,0.7957,0.57143,,
645,0.1107,1.0,,
646,0.92317,0.875,,
647,1.78928,0.71429,,
648,0.43976,0.75,,
649,1.50042,0.8,,
650,0.90564,0.875,,
651,0.01949,1.0,,
652,0.01681,1.0,,
653,0.19789,1.0,,
654,0.09082,1.0,,
655,0.24606,0.875,,
656,0.53799,0.83333,,
657,0.32907,0.75,,
658,0.26278,0.90909,,
659,1.33408,0.6,,
660,0.6578,0.83333,,
661,0.98675,0.8,,
662,1.71487,0.83333,,
663,0.56922,0.85714,,
664,0.12241,1.0,,
665,0.01273,1.0,,
666,0.35669,0.85714,,
667,0.89924,0.8,,
668,0.24925,0.875,,
669,0.55751,0.8,,
670,0.67206,0.71429,,
671,0.82851,0.71429,,
672,0.67304,0.85714,,
673,0.50861,0.75,,
674,0.17866,0.83333,,
675,1.17714,0.75,,
676,0.23779,0.85714,,
677,1.45957,0.71429,,
678,0.0524,1.0,,
679,0.62941,0.85714,,
680,0.02186,1.0,,
681,0.51408,0.85714,,
682,0.25106,0.83333,,
683,1.19671,0.8,,
684,2.40973,0.75,,
685,1.97145,0.6,,
686,0.03437,1.0,,
687,0.09689,1.0,,
688,0.08457,1.0,,
689,0.40174,0.85714,,
690,0.18646,0.83333,,
691,0.01744,1.0,,
692,0.37997,0.75,,
693,0.12459,1.0,,
694,1.5569,0.85714,,
695,0.77519,0.71429,,
696,0.04185,1.0,,
697,1.21382,0.8,,
698,0.11034,1.0,,
699,0.1313,1.0,,
700,1.29911,0.85714,,
701,0.22333,0.83333,,
702,2.50636,0.4,,
703,0.25199,1.0,,
704,1.30059,0.8,,
705,0.30905,0.875,,
706,1.18874,0.66667,,
707,0.02007,1.0,,
708,0.63245,0.8,,
709,0.59161,0.85714,,
710,0.32824,1.0,,
711,0.33977,0.875,,
712,0.05898,1.0,,
713,0.68215,0.71429,,
714,0.16345,1.0,,
715,0.53146,0.8,,
716,0.57095,1.0,,
717,1.01892,0.6,,
718,0.50433,0.8,,
719,3.26031,0.57143,,
720,0.55175,0.66667,,
721,0.54667,0.85714,,
722,1.43506,0.6,,
723,1.59303,0.75,,
724,0.39271,0.83333,,
725,0.53384,0.8,,
726,0.48355,0.8,,
727,0.18743,1.0,,
728,1.2247,0.83333,,
729,1.23982,0.75,,
730,0.04732,1.0,,
731,0.88943,0.8,,
732,0.12484,1.0,,
733,0.35513,1.0,,
734,0.02844,1.0,,
735,0.85911,0.6,,
736,0.40122,0.75,,
737,0.81348,0.6,,
738,0.49924,0.75,,
739,0.0385,1.0,,
740,2.15901,0.71429,,
741,0.55968,0.875,,
742,0.41591,0.85714,,
743,0.40301,0.75,,
744,0.07,1.0,,
745,0.37725,0.8,,
746,0.60568,0.85714,,
747,0.985,0.4,,
748,0.73892,0.75,,
749,0.02804,1.0,,
750,0.75067,0.83333,,
751,0.31596,0.85714,,
752,0.21255,1.0,,
753,0.06797,1.0,,
754,0.07423,1.0,,
755,1.43293,0.8,,
756,0.17332,0.875,,
757,0.83389,0.6,,
758,0.02496,1.0,,
759,1.56656,0.83333,,
760,1.12341,0.8,,
761,0.59731,0.6,,
762,1.07519,0.85714,,
763,0.53111,0.8,,
764,1.47624,0.6,,
765,0.1418,1.0,,
766,0.02622,1.0,,
767,0.56789,0.75,,
768,0.08122,1.0,,
769,1.79892,0.6,,
770,0.08086,1.0,,
771,0.4434,0.8,,
772,1.37677,0.875,,
773,1.42522,0.8,,
774,2.02068,0.6,,
775,0.11335,1.0,,
776,0.51161,0.83333,,
777,0.07084,1.0,,
778,0.99946,0.6,,
779,0.00928,1.0,,
780,1.24992,0.66667,,
781,0.0374,1.0,,
782,0.17409,0.85714,,
783,0.27767,0.8,,
784,0.1869,1.0,,
785,0.09874,1.0,,
786,1.58203,0.57143,,
787,0.0088,1.0,,
788,0.65814,0.83333,,
789,1.4526,0.71429,,
790,1.58198,0.83333,,
791,0.48388,0.8,,
792,0.00286,1.0,,
793,1.24733,0.81818,,
794,0.02727,1.0,,
795,0.02616,1.0,,
796,1.04673,0.75,,
797,0.80392,0.8,,
798,0.03713,1.0,,
799,0.11051,1.0,,
800,0.07977,1.0,,
801,0.06991,1.0,,
802,0.63776,0.75,,
803,0.06461,1.0,,
804,0.55416,0.75,,
805,0.69879,0.75,,
806,0.67064,0.71429,,
807,0.01074,1.0,,
808,0.09898,1.0,,
809,0.31405,0.8,,
810,0.02202,1.0,,
811,0.00245,1.0,,
812,1.81953,0.6,,
813,0.0227,1.0,,
814,0.09806,1.0,,
815,1.57544,0.6,,
816,0.35345,0.8,,
817,0.05535,1.0,,
818,0.99237,0.8,,
819,0.2803,0.8,,
820,0.1325,1.0,,
821,1.1695,0.6,,
822,0.00504,1.0,,
823,0.01681,1.0,,
824,1.16563,0.85714,,
825,0.59147,0.85714,,
826,1.30117,0.83333,,
827,0.39228,0.875,,
828,0.00167,1.0,,
829,0.76546,0.83333,,
830,1.59171,0.57143,,
831,0.00062,1.0,,
832,1.96838,0.75,,
833,0.16896,1.0,,
834,0.28782,0.77778,,
835,0.00841,1.0,,
836,0.45413,0.75,,
837,0.02529,1.0,,
838,2.22544,0.8,,
839,0.77206,0.625,,
840,0.33003,0.90909,,
841,0.64126,0.85714,,
842,0.43912,0.9,,
843,1.6391,0.75,,
844,1.16881,0.75,,
845,0.06173,1.0,,
846,0.00742,1.0,,
847,3.28208,0.5,,
848,0.01271,1.0,,
849,0.06244,1.0,,
850,0.35327,0.875,,
851,1.20423,0.71429,,
852,0.43516,0.875,,
853,0.29376,0.875,,
854,0.11188,1.0,,
855,0.3069,0.75,,
856,0.03615,1.0,,
857,0.54629,0.875,,
858,0.5982,0.6,,
859,0.25456,0.875,,
860,0.04066,1.0,,
861,0.04577,1.0,,
862,0.78524,0.83333,,
863,0.02332,1.0,,
864,0.02139,1.0,,
865,0.0392,1.0,,
866,0.06252,1.0,,
867,0.05544,1.0,,
868,1.82207,0.83333,,
869,0.64734,0.83333,,
870,0.01013,1.0,,
871,0.90859,0.75,,
872,0.02071,1.0,,
873,1.17169,0.9,,
874,0.98671,0.71429,,
875,1.21865,0.75,,
876,1.04085,0.9,,
877,0.56235,0.8,,
878,0.08788,1.0,,
879,0.24253,0.9,,
880,0.8863,0.83333,,
881,0.00233,1.0,,
882,0.03784,1.0,,
883,0.0214,1.0,,
884,0.05987,1.0,,
885,0.15097,0.88889,,
886,0.65179,0.9,,
887,0.03011,1.0,,
888,1.34773,0.85714,,
889,0.74135,0.8,,
890,0.05111,1.0,,
891,0.00495,1.0,,
892,1.09268,0.8,,
893,1.02273,0.85714,,
894,0.31941,0.8,,
895,0.00032,1.0,,
896,0.71233,0.71429,,
897,0.05873,1.0,,
898,0.56351,0.83333,,
899,0.61829,0.8,,
900,0.27262,0.85714,,
901,0.00352,1.0,,
902,1.24767,0.75,,
903,0.00474,1.0,,
904,0.36621,0.75,,
905,0.7097,0.85714,,
906,0.09089,1.0,,
907,0.00164,1.0,,
908,0.00605,1.0,,
909,0.98333,0.6,,
910,0.00103,1.0,,
911,0.46645,0.875,,
912,0.00342,1.0,,
913,1.25358,0.83333,,
914,0.40722,0.85714,,
915,0.00928,1.0,,
916,0.01969,1.0,,
917,1.05739,0.6,,
918,0.00865,1.0,,
919,0.01455,1.0,,
920,0.24748,0.8,,
921,0.01964,1.0,,
922,0.27023,0.8,,
923,0.43944,0.83333,,
924,1.44724,0.8,,
925,0.15955,1.0,,
926,0.15437,0.875,,
927,0.00085,1.0,,
928,0.22456,1.0,,
929,0.00633,1.0,,
930,1.54239,0.85714,,
931,1.49629,0.85714,,
932,0.46579,0.90909,,
933,0.00485,1.0,,
934,0.00019,1.0,,
935,0.36097,0.875,,
936,1.05561,0.8,,
937,1.17339,0.8,,
938,0.76261,0.9,,
939,0.32315,0.8,,
940,1.11203,0.71429,,
941,0.62062,0.875,,
942,0.03271,1.0,,
943,0.02144,1.0,,
944,0.82348,0.83333,,
945,0.00032,1.0,,
946,0.06311,1.0,,
947,0.90532,0.85714,,
948,0.16939,1.0,,
949,0.02473,1.0,,
950,0.014,1.0,,
951,0.00562,1.0,,
952,0.01277,1.0,,
953,0.2679,0.75,,
954,0.69934,0.71429,,
955,0.00493,1.0,,
956,0.03402,1.0,,
957,0.4814,0.83333,,
958,0.06844,1.0,,
959,2.17538,0.6,,
960,0.13515,1.0,,
961,0.14116,1.0,,
962,0.48989,0.8,,
963,0.20884,0.85714,,
964,0.91485,0.8,,
965,0.78194,0.85714,,
966,0.36513,0.8,,
967,0.16906,0.875,,
968,0.00991,1.0,,
969,1.72562,0.8,,
970,0.09903,1.0,,
971,0.21986,0.83333,,
972,0.35126,0.8,,
973,0.18198,1.0,,
974,0.01673,1.0,,
975,0.04122,1.0,,
976,0.34833,0.83333,,
977,1.02484,0.83333,,
978,0.94164,0.75,,
979,1.56347,0.625,,
980,0.08827,1.0,,
981,0.6599,0.85714,,
982,1.17992,0.85714,,
983,0.17541,0.83333,,
984,0.55723,0.75,,
985,0.52811,0.875,,
986,0.00235,1.0,,
987,0.0807,1.0,,
988,2.83039,0.5,,
989,1.2743,0.71429,,
990,0.01804,1.0,,
991,0.99342,0.75,,
992,0.26435,0.8,,
993,0.02148,1.0,,
994,0.26904,0.83333,,
995,0.24496,1.0,,
996,0.70916,0.75,,
997,0.94629,0.83333,,
998,0.03567,1.0,,
999,1.26164,0.8,,
1000,0.01546,1.0,,
1001,0.14248,0.875,,
1002,1.36026,0.75,,
1003,0.0125,1.0,,
1004,0.07851,1.0,,
1005,0.04607,1.0,,
1006,0.54781,0.8,,
1007,0.52873,0.83333,,
1008,0.00169,1.0,,
1009,0.00058,1.0,,
1010,0.27514,0.8,,
1011,0.44975,0.75,,
1012,0.37855,0.875,,
1013,1.13657,0.8,,
1014,0.04073,1.0,,
1015,0.09286,1.0,,
1016,0.71385,0.71429,,
1017,0.1924,1.0,,
1018,0.04649,1.0,,
1019,3.00257,0.75,,
1020,0.05879,1.0,,
1021,0.15591,1.0,,
1022,0.30522,0.8,,
1023,0.06544,1.0,,
1024,0.72648,0.85714,,
1025,1.3691,0.8,,
1026,0.00863,1.0,,
1027,0.49004,0.875,,
1028,0.0009,1.0,,
1029,0.00089,1.0,,
1030,0.00082,1.0,,
1031,0.00237,1.0,,
1032,2.82995,0.625,,
1033,1.18807,0.71429,,
1034,9e-05,1.0,,
1035,2.12433,0.71429,,
1036,0.00299,1.0,,
1037,0.00669,1.0,,
1038,0.06907,1.0,,
1039,0.08278,1.0,,
1040,0.26189,0.8,,
1041,2.00602,0.6,,
